acc. date,type,reg.,operator,fat.,location
29-Dec-24,Boeing 767-322ER (WL),N647UA,United Airlines,0,over Gulf of Mexico
29-Dec-24,Boeing 737-8AS (WL),HL8088,Jeju Air,179,Muan International Airport (MWX/RKJB)
28-Dec-24,Bombardier DHC-8-402Q Dash 8,C-GPNA,"Air Canada Express, opb PAL Airlines",0,Halifax Stanfield International Airport (YHZ/CYHZ)
27-Dec-24,Cessna 560 Citation V,N753MB,Steel Diamond LLC opb Metroplex Flight Services,0,"Stevens Field (PGO/KPSO), Pagosa Springs, CO"
26-Dec-24,Boeing 737 MAX 9,N958AK,Alaska Airlines,0,"near Henderson, NV"
25-Dec-24,Embraer ERJ-190AR,4K-AZ65,Azerbaijan Airlines,38,5 km NW of Aktau Airport (SCO/UATE)
23-Dec-24,Airbus A220-300,HB-JCD,Swiss International Air Lines,1,NE of Graz
22-Dec-24,Britten-Norman BN-2B-26 Islander,P2-SAM,North Coast Aviation,5,"5.7 nm ENE of Sapmanga, Kabwum District, Morobe Province"
22-Dec-24,ATR 72-600,G-CMMK,"Aer Lingus Regional, opb Emerald Airlines UK",0,Belfast City Airport (BHD/EGAC)
19-Dec-24,Antonov An-2R,RA-33555,Faeravia,0,"Mount Tundrovaya, Ust-Kamchatsky Raion, Kamchatka Krai"
18-Dec-24,Lockheed L-100-30 Hercules,N403LC,Lynden Air Cargo,0,"near St. Mary's, AK"
18-Dec-24,Bombardier BD-100-1A10 Challenger 300,LV-GOK,"New Lines, S.A.",2,"near San Fernando Airport (SADF), San Fernando, BA"
17-Dec-24,Cessna 208B Grand Caravan EX,PR-VDB,Voare Táxi Aéreo Ltda,0,"Surucucu Airport (SWUQ), Alto Alegre, RR"
17-Dec-24,Cessna 208B Grand Caravan,N689KA,Kamaka Air LLC,2,"near Daniel K. Inouye International Airport (HNL/PHNL), Honolulu, HI"
16-Dec-24,Boeing 737-8K5 (WL),G-TAWB,TUI Airways,0,East Midlands Airport (EMA/EGNX)
11-Dec-24,Cessna 560 Citation V Ultra,N981AG,International Aviation Sales LTD opb Phoenix Global,0,"Hartsfield–Jackson Atlanta International Airport (ATL/KATL), GA"
11-Dec-24,Boeing 737-4Y0 (SF),5N-JRT,Allied Air,0,Abuja-Nnamdi Azikiwe International Airport (ABV/DNAA)
